Product	Date $ time
20in Monitor	4/17/2019 10:00
AA Batteries (4-pack)	4/17/2019 10:00
Lightning Charging Cable	4/6/2019 9:38
Lightning Charging Cable	4/13/2019 13:32
Apple Airpods Headphones	4/13/2019 10:34
Wired Headphones	4/28/2019 23:03
AA Batteries (4-pack)	4/24/2019 14:17
20in Monitor	4/7/2019 10:00
Flatscreen TV	4/30/2019 10:58
Google Phone	4/20/2019 5:21
Wired Headphones	4/21/2019 10:48
USB-C Charging Cable	4/26/2019 23:34
Apple Airpods Headphones	4/27/2019 16:43
Wired Headphones	4/24/2019 14:43
Apple Airpods Headphones	4/19/2019 10:34
Lightning Charging Cable	4/22/2019 19:14
Flatscreen TV	4/27/2019 13:07
Lightning Charging Cable	4/21/2019 10:35
AAA Batteries (4-pack)	4/26/2019 21:08
27in 4K Gaming Monitor	4/1/2019 10:57
27in 4K Gaming Monitor	4/19/2019 21:31
Lightning Charging Cable	4/26/2019 20:59
AA Batteries (4-pack)	4/15/2019 14:33
USB-C Charging Cable	4/13/2019 18:14
Lightning Charging Cable	4/14/2019 14:26
Lightning Charging Cable	4/21/2019 7:38
USB-C Charging Cable	4/24/2019 9:57
Bose SoundSport Headphones	4/17/2019 8:27
AAA Batteries (4-pack)	4/21/2019 16:17
iPhone	4/23/2019 9:33
20in Monitor	4/11/2019 13:31
Apple Airpods Headphones	4/3/2019 22:13
27in FHD Monitor	4/16/2019 23:52
AA Batteries (4-pack)	4/17/2019 11:48
Apple Airpods Headphones	4/7/2019 1:28
AA Batteries (4-pack)	4/3/2019 13:17
34in Ultrawide Monitor	4/5/2019 17:38
Google Phone	4/5/2019 17:38
Bose SoundSport Headphones	4/24/2019 15:10
USB-C Charging Cable	4/29/2019 18:49
Wired Headphones	4/17/2019 9:54
27in 4K Gaming Monitor	4/1/2019 9:17
Lightning Charging Cable	4/14/2019 19:59
Wired Headphones	4/24/2019 9:23
27in 4K Gaming Monitor	4/8/2019 19:04
Macbook Pro Laptop	4/27/2019 15:04
Flatscreen TV	4/24/2019 15:28
ThinkPad Laptop	4/26/2019 7:55
AA Batteries (4-pack)	4/13/2019 23:52
AAA Batteries (4-pack)	4/18/2019 13:01
AA Batteries (4-pack)	4/13/2019 23:59
USB-C Charging Cable	4/1/2019 23:07
34in Ultrawide Monitor	4/2/2019 17:07
27in 4K Gaming Monitor	4/9/2019 16:21
27in FHD Monitor	4/5/2019 17:06
AA Batteries (4-pack)	4/11/2019 20:28
34in Ultrawide Monitor	4/18/2019 21:26
Lightning Charging Cable	4/6/2019 12:46
Wired Headphones	4/2/2019 20:32
Apple Airpods Headphones	4/26/2019 20:00
AA Batteries (4-pack)	4/18/2019 14:06
USB-C Charging Cable	4/25/2019 13:36
Wired Headphones	4/16/2019 19:52
USB-C Charging Cable	4/14/2019 20:44
AA Batteries (4-pack)	4/21/2019 19:52
27in 4K Gaming Monitor	4/9/2019 14:18
Wired Headphones	4/4/2019 0:03
AA Batteries (4-pack)	4/29/2019 14:14
Wired Headphones	4/8/2019 17:38
Lightning Charging Cable	4/24/2019 17:40
AA Batteries (4-pack)	4/10/2019 21:48
AAA Batteries (4-pack)	4/25/2019 20:07
Lightning Charging Cable	4/25/2019 15:06
USB-C Charging Cable	4/25/2019 15:06
USB-C Charging Cable	4/1/2019 20:56
Bose SoundSport Headphones	4/24/2019 23:28
Apple Airpods Headphones	4/14/2019 16:53
34in Ultrawide Monitor	4/12/2019 17:46
27in FHD Monitor	4/4/2019 16:46
Lightning Charging Cable	4/18/2019 23:51
iPhone	4/3/2019 7:37
Lightning Charging Cable	4/3/2019 7:37
Apple Airpods Headphones	4/22/2019 13:42
Apple Airpods Headphones	4/5/2019 11:40
AAA Batteries (4-pack)	4/8/2019 10:14
Bose SoundSport Headphones	4/3/2019 15:39
20in Monitor	4/6/2019 16:40
Google Phone	4/14/2019 10:10
Bose SoundSport Headphones	4/15/2019 4:39
Lightning Charging Cable	4/21/2019 20:15
AAA Batteries (4-pack)	4/28/2019 12:07
Google Phone	4/21/2019 11:43
27in 4K Gaming Monitor	4/30/2019 19:29
Wired Headphones	4/17/2019 17:09
Lightning Charging Cable	4/10/2019 21:40
Wired Headphones	4/13/2019 11:46
Bose SoundSport Headphones	4/7/2019 8:44
Google Phone	4/21/2019 8:54
Bose SoundSport Headphones	4/21/2019 8:54
Wired Headphones	4/21/2019 8:54
iPhone	4/6/2019 10:31
Wired Headphones	4/3/2019 14:24
Lightning Charging Cable	4/9/2019 11:35
Vareebadd Phone	4/28/2019 18:52
AA Batteries (4-pack)	4/29/2019 17:33
AA Batteries (4-pack)	4/1/2019 23:00
Bose SoundSport Headphones	4/21/2019 21:56
Google Phone	4/1/2019 15:50
USB-C Charging Cable	4/1/2019 15:50
Macbook Pro Laptop	4/22/2019 13:26
USB-C Charging Cable	4/21/2019 17:13
Google Phone	4/28/2019 18:03
Wired Headphones	4/28/2019 18:03
Bose SoundSport Headphones	4/19/2019 1:14
AAA Batteries (4-pack)	4/30/2019 14:57
AA Batteries (4-pack)	4/14/2019 23:02
Wired Headphones	4/20/2019 16:40
Google Phone	4/28/2019 18:01
Wired Headphones	4/28/2019 18:01
Lightning Charging Cable	4/9/2019 12:09
AAA Batteries (4-pack)	4/4/2019 13:36
27in 4K Gaming Monitor	4/19/2019 20:14
Lightning Charging Cable	4/26/2019 20:47
Wired Headphones	4/9/2019 2:19
AA Batteries (4-pack)	4/15/2019 5:44
USB-C Charging Cable	4/17/2019 12:10
34in Ultrawide Monitor	4/18/2019 15:08
AAA Batteries (4-pack)	4/22/2019 19:50
Wired Headphones	4/6/2019 20:18
USB-C Charging Cable	4/3/2019 13:01
LG Washing Machine	4/13/2019 22:31
Bose SoundSport Headphones	4/11/2019 0:15
AAA Batteries (4-pack)	4/20/2019 13:36
iPhone	4/7/2019 22:13
Wired Headphones	4/30/2019 9:09
Wired Headphones	4/18/2019 12:02
USB-C Charging Cable	4/1/2019 7:39
Apple Airpods Headphones	4/19/2019 20:21
Wired Headphones	4/21/2019 19:32
Lightning Charging Cable	4/15/2019 20:42
USB-C Charging Cable	4/23/2019 16:55
USB-C Charging Cable	4/10/2019 14:20
Lightning Charging Cable	4/10/2019 12:29
Lightning Charging Cable	4/5/2019 18:44
20in Monitor	4/10/2019 7:19
USB-C Charging Cable	4/2/2019 10:08
AAA Batteries (4-pack)	4/26/2019 22:50
AA Batteries (4-pack)	4/6/2019 23:16
34in Ultrawide Monitor	4/21/2019 11:22
AA Batteries (4-pack)	4/23/2019 18:48
USB-C Charging Cable	4/15/2019 14:26
USB-C Charging Cable	4/19/2019 9:03
AA Batteries (4-pack)	4/3/2019 16:00
27in FHD Monitor	4/28/2019 18:09
34in Ultrawide Monitor	4/22/2019 10:59
AA Batteries (4-pack)	4/3/2019 12:40
AA Batteries (4-pack)	4/9/2019 22:58
AA Batteries (4-pack)	4/9/2019 13:58
AA Batteries (4-pack)	4/24/2019 11:41
AA Batteries (4-pack)	4/11/2019 22:05
Wired Headphones	4/21/2019 16:42
Lightning Charging Cable	4/13/2019 10:59
Bose SoundSport Headphones	4/30/2019 7:18
AAA Batteries (4-pack)	4/16/2019 13:25
AA Batteries (4-pack)	4/15/2019 10:53
USB-C Charging Cable	4/4/2019 11:00
Bose SoundSport Headphones	4/14/2019 13:01
AAA Batteries (4-pack)	4/29/2019 11:37
27in FHD Monitor	4/19/2019 17:18
AAA Batteries (4-pack)	4/2/2019 15:47
AA Batteries (4-pack)	4/18/2019 14:28
ThinkPad Laptop	4/2/2019 11:42
AAA Batteries (4-pack)	4/25/2019 21:00
20in Monitor	4/5/2019 7:37
Apple Airpods Headphones	4/23/2019 18:33
AAA Batteries (4-pack)	4/5/2019 18:38
AA Batteries (4-pack)	4/29/2019 20:02
AA Batteries (4-pack)	4/15/2019 12:17
AA Batteries (4-pack)	4/6/2019 5:26
AAA Batteries (4-pack)	4/15/2019 11:04
27in 4K Gaming Monitor	4/23/2019 19:26
Bose SoundSport Headphones	4/23/2019 21:15
Lightning Charging Cable	4/10/2019 15:48
ThinkPad Laptop	4/13/2019 9:15
Flatscreen TV	4/13/2019 14:15
27in FHD Monitor	4/4/2019 8:36
Wired Headphones	4/22/2019 20:59
Wired Headphones	4/24/2019 20:16
Wired Headphones	4/15/2019 9:24
USB-C Charging Cable	4/11/2019 9:04
34in Ultrawide Monitor	4/22/2019 21:26
Flatscreen TV	4/19/2019 20:44
AAA Batteries (4-pack)	4/1/2019 12:59
Wired Headphones	4/15/2019 13:57
AAA Batteries (4-pack)	4/17/2019 21:22
USB-C Charging Cable	4/25/2019 17:35
AAA Batteries (4-pack)	4/7/2019 11:52
AAA Batteries (4-pack)	4/12/2019 22:50
AAA Batteries (4-pack)	4/23/2019 14:01
Flatscreen TV	4/13/2019 17:23
Apple Airpods Headphones	4/24/2019 8:44
AAA Batteries (4-pack)	4/24/2019 17:41
Apple Airpods Headphones	4/2/2019 18:12
Apple Airpods Headphones	4/18/2019 17:05
Lightning Charging Cable	4/5/2019 18:17
Bose SoundSport Headphones	4/21/2019 6:17
Lightning Charging Cable	4/22/2019 14:37
USB-C Charging Cable	4/11/2019 14:49
iPhone	4/9/2019 11:10
AAA Batteries (4-pack)	4/13/2019 15:44
27in FHD Monitor	4/12/2019 7:40
27in FHD Monitor	4/7/2019 20:14
27in FHD Monitor	4/11/2019 1:43
AAA Batteries (4-pack)	4/25/2019 20:53
Wired Headphones	4/22/2019 9:53
AAA Batteries (4-pack)	4/19/2019 14:46
AAA Batteries (4-pack)	4/12/2019 10:29
Apple Airpods Headphones	4/25/2019 14:33
AAA Batteries (4-pack)	4/20/2019 19:09
Lightning Charging Cable	4/1/2019 15:54
AAA Batteries (4-pack)	4/4/2019 19:18
34in Ultrawide Monitor	4/18/2019 7:45
USB-C Charging Cable	4/14/2019 19:50
USB-C Charging Cable	4/10/2019 9:57
AAA Batteries (4-pack)	4/29/2019 7:02
Apple Airpods Headphones	4/30/2019 18:55
Lightning Charging Cable	4/24/2019 17:56
Bose SoundSport Headphones	4/2/2019 21:08
LG Washing Machine	4/26/2019 12:48
Bose SoundSport Headphones	4/14/2019 10:32
Lightning Charging Cable	4/18/2019 15:31
USB-C Charging Cable	4/14/2019 21:17
Wired Headphones	4/18/2019 18:40
AAA Batteries (4-pack)	4/8/2019 21:08
ThinkPad Laptop	4/11/2019 22:13
USB-C Charging Cable	4/15/2019 9:41
ThinkPad Laptop	4/13/2019 8:47
34in Ultrawide Monitor	4/28/2019 17:02
Flatscreen TV	4/24/2019 10:34
AAA Batteries (4-pack)	4/8/2019 19:44
AAA Batteries (4-pack)	4/3/2019 21:31
27in FHD Monitor	4/3/2019 21:31
Apple Airpods Headphones	4/15/2019 8:36
Google Phone	4/30/2019 22:04
AAA Batteries (4-pack)	4/29/2019 21:08
AAA Batteries (4-pack)	4/6/2019 12:50
Lightning Charging Cable	4/2/2019 23:59
27in 4K Gaming Monitor	4/11/2019 18:46
AA Batteries (4-pack)	4/12/2019 10:02
Lightning Charging Cable	4/9/2019 6:50
Bose SoundSport Headphones	4/28/2019 6:22
USB-C Charging Cable	4/24/2019 2:17
Lightning Charging Cable	4/27/2019 16:36
AA Batteries (4-pack)	4/2/2019 18:40
Wired Headphones	4/26/2019 9:46
USB-C Charging Cable	4/27/2019 12:54
Lightning Charging Cable	4/4/2019 8:54
USB-C Charging Cable	4/15/2019 21:57
AAA Batteries (4-pack)	4/6/2019 18:47
Flatscreen TV	4/29/2019 13:41
Bose SoundSport Headphones	4/28/2019 14:49
AAA Batteries (4-pack)	4/2/2019 16:08
AA Batteries (4-pack)	4/1/2019 21:43
Google Phone	4/6/2019 18:22
Bose SoundSport Headphones	4/23/2019 9:26
Wired Headphones	4/8/2019 18:32
Bose SoundSport Headphones	4/8/2019 14:49
27in FHD Monitor	4/16/2019 15:13
Wired Headphones	4/7/2019 11:19
AAA Batteries (4-pack)	4/14/2019 13:17
AAA Batteries (4-pack)	4/5/2019 14:43
Lightning Charging Cable	4/8/2019 9:00
Bose SoundSport Headphones	4/22/2019 23:21
27in 4K Gaming Monitor	4/13/2019 13:04
Bose SoundSport Headphones	4/28/2019 8:30
AA Batteries (4-pack)	4/5/2019 9:27
Bose SoundSport Headphones	4/6/2019 19:33
AAA Batteries (4-pack)	4/5/2019 22:56
27in FHD Monitor	4/6/2019 17:36
Wired Headphones	4/4/2019 21:49
ThinkPad Laptop	4/5/2019 22:51
USB-C Charging Cable	4/23/2019 15:46
AAA Batteries (4-pack)	4/23/2019 15:46
27in FHD Monitor	4/18/2019 5:42
Bose SoundSport Headphones	4/6/2019 13:57
Apple Airpods Headphones	5/1/2019 3:29
AAA Batteries (4-pack)	4/28/2019 17:53
Bose SoundSport Headphones	4/2/2019 11:20
Google Phone	4/1/2019 11:29
iPhone	4/14/2019 13:53
AAA Batteries (4-pack)	4/23/2019 10:18
Apple Airpods Headphones	4/22/2019 19:39
USB-C Charging Cable	4/15/2019 11:52
Apple Airpods Headphones	4/12/2019 14:45
AAA Batteries (4-pack)	4/22/2019 9:28
Lightning Charging Cable	4/30/2019 23:02
Google Phone	4/9/2019 13:43
USB-C Charging Cable	4/9/2019 13:43
27in FHD Monitor	4/7/2019 0:15
Bose SoundSport Headphones	4/15/2019 1:49
AAA Batteries (4-pack)	4/15/2019 12:22
iPhone	4/7/2019 9:43
Wired Headphones	4/7/2019 9:43
Google Phone	4/15/2019 12:39
AA Batteries (4-pack)	4/20/2019 23:12
Wired Headphones	4/23/2019 13:57
AA Batteries (4-pack)	4/25/2019 16:57
Bose SoundSport Headphones	4/12/2019 12:54
Lightning Charging Cable	4/28/2019 11:19
USB-C Charging Cable	4/26/2019 16:08
Wired Headphones	4/17/2019 9:49
USB-C Charging Cable	4/15/2019 10:38
USB-C Charging Cable	4/13/2019 16:09
AAA Batteries (4-pack)	4/24/2019 17:43
Lightning Charging Cable	4/28/2019 11:38
34in Ultrawide Monitor	4/2/2019 16:42
AAA Batteries (4-pack)	4/18/2019 13:10
Apple Airpods Headphones	4/5/2019 21:19
AA Batteries (4-pack)	4/24/2019 11:08
Apple Airpods Headphones	4/28/2019 13:42
Wired Headphones	4/11/2019 11:18
Lightning Charging Cable	4/29/2019 14:05
AAA Batteries (4-pack)	4/18/2019 18:52
Lightning Charging Cable	4/17/2019 7:41
Lightning Charging Cable	4/26/2019 13:55
USB-C Charging Cable	4/23/2019 17:05
AAA Batteries (4-pack)	4/16/2019 0:04
USB-C Charging Cable	4/25/2019 7:35
USB-C Charging Cable	4/20/2019 15:44
Macbook Pro Laptop	4/16/2019 22:31
Bose SoundSport Headphones	4/8/2019 21:52
iPhone	4/17/2019 18:14
Wired Headphones	4/17/2019 18:14
AAA Batteries (4-pack)	4/23/2019 20:40
Bose SoundSport Headphones	4/27/2019 15:00
27in FHD Monitor	4/6/2019 14:42
34in Ultrawide Monitor	4/11/2019 22:15
USB-C Charging Cable	4/24/2019 9:12
Bose SoundSport Headphones	4/4/2019 12:58
Wired Headphones	4/29/2019 11:23
USB-C Charging Cable	4/3/2019 10:55
Apple Airpods Headphones	4/25/2019 13:50
iPhone	4/22/2019 7:29
USB-C Charging Cable	4/2/2019 18:13
USB-C Charging Cable	4/30/2019 10:25
Bose SoundSport Headphones	4/26/2019 12:15
Lightning Charging Cable	4/27/2019 19:05
34in Ultrawide Monitor	4/27/2019 1:44
iPhone	4/3/2019 12:11
AAA Batteries (4-pack)	4/26/2019 20:44
USB-C Charging Cable	4/15/2019 9:27
Wired Headphones	4/11/2019 12:59
Lightning Charging Cable	4/24/2019 6:57
27in 4K Gaming Monitor	4/2/2019 22:02
AA Batteries (4-pack)	4/1/2019 20:31
Flatscreen TV	4/7/2019 22:40
Vareebadd Phone	4/29/2019 13:02
Lightning Charging Cable	4/13/2019 11:52
Bose SoundSport Headphones	4/12/2019 21:23
Wired Headphones	4/3/2019 6:55
Apple Airpods Headphones	4/8/2019 9:53
Wired Headphones	4/7/2019 8:41
USB-C Charging Cable	4/2/2019 9:30
Wired Headphones	4/24/2019 20:45
Apple Airpods Headphones	4/9/2019 19:18
Macbook Pro Laptop	4/24/2019 10:34
Lightning Charging Cable	4/9/2019 12:37
Flatscreen TV	4/20/2019 23:52
Bose SoundSport Headphones	4/9/2019 8:57
20in Monitor	4/7/2019 9:24
AAA Batteries (4-pack)	4/19/2019 22:55
AA Batteries (4-pack)	4/2/2019 12:44
Bose SoundSport Headphones	4/9/2019 9:33
Apple Airpods Headphones	4/27/2019 19:16
AAA Batteries (4-pack)	4/5/2019 18:23
Wired Headphones	4/2/2019 20:57
AAA Batteries (4-pack)	4/3/2019 21:04
Macbook Pro Laptop	4/8/2019 20:02
Lightning Charging Cable	4/24/2019 17:48
27in FHD Monitor	4/2/2019 6:53
iPhone	4/17/2019 13:40
USB-C Charging Cable	4/17/2019 22:25
34in Ultrawide Monitor	4/22/2019 22:28
iPhone	4/1/2019 13:11
AA Batteries (4-pack)	4/1/2019 15:59
27in FHD Monitor	4/21/2019 22:39
Bose SoundSport Headphones	4/26/2019 5:30
Wired Headphones	4/28/2019 19:45
AAA Batteries (4-pack)	4/10/2019 7:11
USB-C Charging Cable	4/3/2019 14:31
Lightning Charging Cable	4/28/2019 12:06
AAA Batteries (4-pack)	4/14/2019 17:33
Flatscreen TV	4/9/2019 8:36
34in Ultrawide Monitor	4/12/2019 2:30
Flatscreen TV	4/12/2019 12:45
AA Batteries (4-pack)	4/18/2019 16:15
iPhone	4/19/2019 20:31
Lightning Charging Cable	4/8/2019 0:07
Wired Headphones	4/27/2019 13:08
AAA Batteries (4-pack)	4/16/2019 6:57
Apple Airpods Headphones	4/10/2019 17:46
USB-C Charging Cable	4/9/2019 17:18
Apple Airpods Headphones	4/5/2019 13:51
AAA Batteries (4-pack)	4/4/2019 15:00
27in FHD Monitor	4/29/2019 12:29
Flatscreen TV	4/30/2019 13:02
Lightning Charging Cable	4/27/2019 18:11
USB-C Charging Cable	4/6/2019 19:49
Vareebadd Phone	4/21/2019 18:04
Apple Airpods Headphones	4/30/2019 12:07
AA Batteries (4-pack)	4/28/2019 11:16
ThinkPad Laptop	4/6/2019 15:28
Flatscreen TV	4/9/2019 21:05
iPhone	4/24/2019 5:19
27in 4K Gaming Monitor	4/24/2019 5:19
ThinkPad Laptop	4/12/2019 11:41
Lightning Charging Cable	4/9/2019 19:28
Bose SoundSport Headphones	4/10/2019 18:39
USB-C Charging Cable	4/1/2019 17:10
Bose SoundSport Headphones	4/20/2019 20:12
Bose SoundSport Headphones	4/28/2019 19:34
Bose SoundSport Headphones	4/8/2019 10:12
AAA Batteries (4-pack)	4/28/2019 12:56
USB-C Charging Cable	4/15/2019 6:56
USB-C Charging Cable	4/23/2019 11:40
20in Monitor	4/2/2019 12:40
Apple Airpods Headphones	4/14/2019 14:19
iPhone	4/19/2019 19:10
Lightning Charging Cable	4/19/2019 19:10
Bose SoundSport Headphones	4/8/2019 12:46
ThinkPad Laptop	4/16/2019 19:34
AAA Batteries (4-pack)	4/16/2019 19:34
AA Batteries (4-pack)	4/23/2019 5:12
Vareebadd Phone	4/6/2019 20:13
Macbook Pro Laptop	4/3/2019 9:46
Lightning Charging Cable	4/23/2019 20:54
Apple Airpods Headphones	4/30/2019 19:49
Flatscreen TV	4/9/2019 11:54
Lightning Charging Cable	4/2/2019 19:52
Lightning Charging Cable	4/23/2019 21:40
Bose SoundSport Headphones	4/28/2019 19:31
27in FHD Monitor	4/16/2019 21:15
Flatscreen TV	4/3/2019 20:10
Apple Airpods Headphones	4/23/2019 17:48
LG Washing Machine	4/1/2019 8:43
Lightning Charging Cable	4/30/2019 10:25
27in FHD Monitor	4/6/2019 13:56
27in FHD Monitor	4/16/2019 11:54
Lightning Charging Cable	4/16/2019 12:58
iPhone	4/25/2019 6:18
USB-C Charging Cable	4/14/2019 20:54
AA Batteries (4-pack)	4/6/2019 12:20
AAA Batteries (4-pack)	4/14/2019 19:56
Apple Airpods Headphones	4/3/2019 14:05
Lightning Charging Cable	4/24/2019 16:10
AAA Batteries (4-pack)	4/20/2019 16:12
Lightning Charging Cable	4/8/2019 12:07
Wired Headphones	4/12/2019 13:12
27in 4K Gaming Monitor	4/3/2019 16:58
LG Washing Machine	4/25/2019 9:50
Lightning Charging Cable	4/7/2019 20:34
20in Monitor	4/26/2019 14:06
USB-C Charging Cable	4/6/2019 11:04
34in Ultrawide Monitor	4/24/2019 6:23
Wired Headphones	4/27/2019 10:05
ThinkPad Laptop	4/11/2019 10:24
ThinkPad Laptop	4/5/2019 23:20
Flatscreen TV	4/10/2019 13:51
AAA Batteries (4-pack)	4/27/2019 15:40
Lightning Charging Cable	4/19/2019 13:09
Apple Airpods Headphones	4/5/2019 16:21
AA Batteries (4-pack)	4/14/2019 10:52
Lightning Charging Cable	4/12/2019 7:16
AAA Batteries (4-pack)	4/14/2019 23:16
AAA Batteries (4-pack)	4/26/2019 11:37
Wired Headphones	4/3/2019 9:38
Bose SoundSport Headphones	4/22/2019 14:43
Wired Headphones	4/19/2019 9:30
Lightning Charging Cable	4/18/2019 15:51
Wired Headphones	4/18/2019 23:18
